movieId,title,genres,imdbId,tmdbId,overview
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings."
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count."
13,Balto (1995),Adventure|Animation|Children,112453,21032,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
14,Nixon (1995),Drama,113987,10858,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
16,Casino (1995),Crime|Drama,112641,524,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger."
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men."
18,Four Rooms (1995),Comedy,113101,5,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him."
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Assassins (1995),Action|Crime|Thriller,112401,9691,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
24,Powder (1995),Drama|Sci-Fi,114168,12665,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,Othello (1995),Drama,114057,16420,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
27,Now and Then (1995),Children|Drama,114011,9263,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more."
28,Persuasion (1995),Drama|Romance,114117,17015,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth – the dashing one she once sent away – crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances."
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows."
31,Dangerous Minds (1995),Drama,112792,9909,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost."
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease."
33,Wings of Courage (1995),Adventure|Romance|IMAX,114952,78802,"In 1930 South America, a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight, he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst."
34,Babe (1995),Children|Drama,112431,9598,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be."
35,Carrington (1995),Drama|Romance,112637,47018,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry."
36,Dead Man Walking (1995),Crime|Drama,112818,687,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.
37,Across the Sea of Time (1995),Documentary|IMAX,112286,139405,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography."
38,It Takes Two (1995),Children|Comedy,113442,33689,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda."
39,Clueless (1995),Comedy|Romance,112697,9603,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him."
40,"Cry, the Beloved Country (1995)",Drama,112749,34615,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41,Richard III (1995),Drama|War,114279,31174,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised."
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!
43,Restoration (1995),Drama,114272,35196,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician."
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes."
45,To Die For (1995),Comedy|Drama|Thriller,114681,577,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary."
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom."
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia."
49,When Night Is Falling (1995),Drama|Romance,114916,8391,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray."
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
51,Guardian Angel (1994),Action|Drama|Thriller,109950,117164,"Detective-turned-bodyguard Cynthia McKay is hired by a psychotic, icy seductress, Nina Lindell, the same woman who killed McKay's lover months earlier.  With vendetta in her heart, McKay accompanies a flamboyantly playful womanizer through the glamorous world of the super-rich, as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action."
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
53,Lamerica (1994),Adventure|Drama,110299,49133,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand."
54,"Big Green, The (1995)",Children|Comedy,112499,26441,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles."
55,Georgia (1995),Drama,113158,97406,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain."
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,113541,124057,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it."
57,Home for the Holidays (1995),Drama,113321,9089,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family."
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,112714,99040,"Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies."
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.
61,Eye for an Eye (1996),Drama|Thriller,116260,17182,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter."
62,Mr. Holland's Opus (1995),Drama,113862,2054,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?"
64,Two if by Sea (1996),Comedy|Romance,118002,19760,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned."
65,Bio-Dome (1996),Comedy,115683,9536,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525,"After being rescued from the ruins of Virtual Space Industries, Jobe is rebuilt and reconnected to virtual reality by corporate mogul Jonathan Walker. Years later, teenage hacker Peter Parkette helps Jobe locate Benjamin Trace, the original creator of virtual reality, only to uncover Jobe’s plan to launch a new world order using Walker’s tech. Now, Peter, Trace, Cori, and a band of runaways must stop Jobe and Walker before they enslave humanity through cyberspace."
67,Two Bits (1995),Drama,114753,40628,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary."
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,Friday (1995),Comedy,113118,10634,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele."
71,Fair Game (1995),Action,113010,11859,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her"
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
73,"Misérables, Les (1995)",Drama|War,113828,48750,"In France during World War II, a poor and illiterate man, Henri Fortin, is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life."
74,Bed of Roses (1996),Drama|Romance,115644,20927,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all."
75,Big Bully (1996),Comedy|Drama,115676,36929,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms."
77,Nico Icon (1995),Documentary,113973,124626,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live."
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death."
79,"Juror, The (1996)",Drama|Thriller,116731,9623,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown."
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400,Five different criminals face imminent death after botching a job quite badly.
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women."
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84,Last Summer in the Hamptons (1995),Comedy|Drama,113612,188588,"Helena Mora, the head of an eccentric theatrical family, has decided to sell her large estate in the Hamptons because of her recent money troubles. Before she completes the sale, she wants to have one last gathering of family and friends, with dramatic performances. Bringing everyone together, though, creates rivalries and tension, especially for Oona, a temperamental but successful movie actress who seeks the approval of her creative peers."
85,Angels and Insects (1995),Drama|Romance,112365,8447,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor."
86,White Squall (1996),Action|Adventure|Drama,118158,10534,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm."
87,Dunston Checks In (1996),Children|Comedy,116151,17414,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!"
88,Black Sheep (1996),Comedy,115697,13997,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election."
89,Nick of Time (1995),Action|Thriller,113972,2086,An ordinary man is suddenly forced into a plot to kill a politician in exchange for his kidnapped daughter's freedom.
90,"Journey of August King, The (1995)",Drama,113490,61548,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner."
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158,"Detective Rita Veder is assigned to a baffling serial murder case. After examining the crime scene — a corpse-filled ship found adrift at sea — she meets Maximilian, a smooth-talking Caribbean playboy determined to romance her."
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires."
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box."
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope."
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police."
98,Shopping (1994),Action|Thriller,111173,45549,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding. An exciting game in which stolen cars are driven through shop windows to aid large-scale looting before the police arrive. For Tommy, it's a business, but for Billy and Jo, it's a labour of love. As the competition between Tommy and Billy grows more fierce, the stakes become higher and the ""shopping"" trips increasingly risky."
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction."
100,City Hall (1996),Drama|Thriller,115907,11062,"The accidental shooting of a boy in New York City leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a harebrained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry."
102,Mr. Wrong (1996),Comedy,117102,47475,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature."
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045,"Seattle medical examiner David Krane is obsessed with solving his wife's murder. A possible solution presents itself in an experimental ""memory"" serum designed by a neurobiology professor, which has the ability to transfer memories from one person to another, but with potentially fatal consequences."
